"","JDate","Year","unitbox","RFID","Seconds","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","UniqueRecord","FullTime","Hours","HoursSq","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Sc.Seconds","Sc.Year","Sc.DOY","cloud","Sky.Cov.y"
"1",145,2015,"2126","0418945C34",23614,"126","0418942DBA","0418945C34","Yes","5/24/15",1,"0418945C34_145_23614",12551614,6.55944444444444,43.0263114197531,"M",21025,"High",52.5,"Ithaca",2015-05-24,144,144,164,1.90634466145997,"15",-2.1463970156699,0.46,0.46
"2",146,2015,"2126","0418945C34",18998,"126","0418942DBA","0418945C34","Yes","5/24/15",2,"0418945C34_146_18998",12633398,5.27722222222222,27.849074382716,"M",21316,"High",62.2,"Ithaca",2015-05-24,144,144,164,-0.835072274304546,"15",-2.0337476663296,0.53,0.53
"3",146,2016,"2118","04186ED791",23467,"118","0419179244","04186ED791","Yes","5/24/16",0,"04186ED791_146_23467",12637867,6.518611,42.49229,"M",21316,"Low Tape",81.2,"Ithaca",2016-05-24,145,145,165,1.81904217238775,"16",-2.0337476663296,0.211111111111111,0.211111111111111
"4",147,2015,"2126","0418945C34",21869,"126","0418942DBA","0418945C34","Yes","5/24/15",3,"0418945C34_147_21869",12722669,6.07472222222222,36.9022500771605,"M",21609,"High",71.3,"Ithaca",2015-05-24,144,144,164,0.869998787779494,"15",-1.9210983169893,0.15,0.15
"5",147,2016,"277","041868D041",20240,"77","04186ED2D1","041868D041","Yes","5/25/16",-1,"041868D041_147_20240",12721040,5.622222,31.60938,"M",21609,"Short Cort",72.1,"Ithaca",2016-05-25,146,146,166,-0.0974553258167795,"16",-1.9210983169893,0.06,0.06
"6",147,2016,"2118","04186ED791",23784,"118","0419179244","04186ED791","Yes","5/24/16",1,"04186ED791_147_23784",12724584,6.606667,43.64804,"M",21609,"Low Tape",72.1,"Ithaca",2016-05-24,145,145,165,2.00730672365234,"16",-1.9210983169893,0.06,0.06
"7",148,2015,"2126","0418945C34",20664,"126","0418942DBA","0418945C34","Yes","5/24/15",4,"0418945C34_148_20664",12807864,5.74,32.9476,"M",21904,"High",79.8,"Ithaca",2015-05-24,144,144,164,0.154355935180654,"15",-1.80844896764899,0.22,0.22
"8",148,2015,"277","041868D041",20365,"77","04186EB240","041868D041","Yes","5/27/15",1,"041868D041_148_20365",12807565,5.656944,32.00102,"M",21904,"DMSO",79.8,"Ithaca",2015-05-27,147,147,167,-0.0232185153812152,"15",-1.80844896764899,0.22,0.22
"9",148,2016,"2118","04186ED791",23504,"118","0419179244","04186ED791","Yes","5/24/16",2,"04186ED791_148_23504",12810704,6.528889,42.62639,"M",21904,"Low Tape",61.8,"Ithaca",2016-05-24,145,145,165,1.84101626827667,"16",-1.80844896764899,0.16,0.16
"10",148,2016,"277","041868D041",19632,"77","04186ED2D1","041868D041","Yes","5/25/16",0,"041868D041_148_19632",12806832,5.453333,29.73884,"M",21904,"Short Cort",61.8,"Ithaca",2016-05-25,146,146,166,-0.458543171775364,"16",-1.80844896764899,0.16,0.16
